date,count
20200101,756
20200102,1760
20200103,1457
20200104,1220
20200105,1265
20200106,1683
20200107,1495
20200108,1367
20200109,1491
20200110,1350
20200111,1275
20200112,1298
20200113,1598
20200114,1423
20200115,1313
20200116,1411
20200117,1284
20200118,1195
20200119,1104
20200120,1544
20200121,1209
20200122,958
20200123,687
20200124,591
20200125,200
20200126,449
20200127,518
20200128,641
20200129,760
20200130,1363
20200131,1410
20200201,1122
20200202,1035
20200203,1259
20200204,1196
20200205,1157
20200206,1098
20200207,973
20200208,760
20200209,722
20200210,1059
20200211,897
20200212,853
20200213,961
20200214,930
20200215,700
20200216,780
20200217,1031
20200218,879
20200219,820
20200220,859
20200221,874
20200222,712
20200223,681
20200224,966
20200225,924
20200226,757
20200227,864
20200228,750
20200229,614
20200301,714
20200302,1023
20200303,910
20200304,886
20200305,876
20200306,857
20200307,637
20200308,696
20200309,892
20200310,780
20200311,1434
20200312,745
20200313,720
20200314,510
20200315,620
20200316,776
20200317,690
20200318,632
20200319,710
20200320,576
20200321,443
20200322,537
20200323,657
20200324,578
20200325,496
20200326,480
20200327,370
20200328,290
20200329,318
20200330,403
20200331,346
20200401,303
20200402,243
20200403,637
20200404,338
20200405,300
20200406,427
20200407,370
20200408,370
20200409,374
20200410,386
20200411,278
20200412,229
20200413,592
20200414,420
20200415,412
20200416,481
20200417,689
20200418,358
20200419,526
20200420,529
20200421,503
20200422,490
20200423,614
20200424,470
20200425,337
20200426,301
20200427,664
20200428,622
20200429,852
20200430,234
20200501,238
20200502,644
20200503,573
20200504,1256
20200505,1248
20200506,1011
20200507,1025
20200508,952
20200509,841
20200510,999
20200511,999
20200512,873
20200513,751
20200514,847
20200515,778
20200516,703
20200517,809
20200518,981
20200519,718
20200520,727
20200521,775
20200522,742
20200523,681
20200524,725
20200525,780
20200526,866
20200527,748
20200528,828
20200529,925
20200530,844
20200531,915
20200601,1245
20200602,1139
20200603,1121
20200604,1148
20200605,1217
20200606,1228
20200607,1139
20200608,1559
20200609,1154
20200610,1049
20200611,1188
20200612,1133
20200613,910
20200614,868
20200615,1164
20200616,953
20200617,874
20200618,1003
20200619,892
20200620,840
20200621,961
20200622,1063
20200623,878
20200624,823
20200625,751
20200626,880
20200627,917
20200628,874
20200629,1041
20200630,952
20200701,907
20200702,934
20200703,908
20200704,966
20200705,933
20200706,1289
20200707,1060
20200708,949
20200709,1042
20200710,948
20200711,982
20200712,1019
20200713,1229
20200714,1075
20200715,1118
20200716,1328
20200717,1298
20200718,993
20200719,1025
20200720,1548
20200721,1263
20200722,1189
20200723,1234
20200724,1206
20200725,997
20200726,994
20200727,1567
20200728,1567
20200729,1111
20200730,1162
20200731,954
20200806,1231
20200807,763
20200810,901
20200801,737
20200802,575
20200803,988
20200804,901
20200805,759
20200808,1059
20200809,616
20200811,934
20200812,822
20200813,2877
20200814,1362
20200815,741
20200816,673
20200817,1236
20200818,2088
20200819,2053
20200820,1227
20200821,978
20200822,770
20200823,846
20200824,1207
20200825,1061
20200826,1061
20200827,1100
20200828,1070
20200829,843
20200830,791
20200831,1283
20200901,897
20200902,470
20200903,1174
20200904,1068
20200905,1919
20200906,976
20200907,1195
20200908,998
20200909,902
20200910,1848
20200911,1055
20200912,1070
20200913,1055
20200914,1421
20200915,1716
20200916,1138
20200917,1838
20200918,1412
20200919,1140
20200920,1244
20200921,1949
20200922,1497
20200923,1352
20200924,1468
20200925,1552
20200926,1406
20200927,1430
20200928,1917
20200929,1636
20200930,1497
20201001,1829
20201008,2048
20201009,1964
20201002,1706
20201003,1831
20201004,1749
20201005,2184
20201006,2131
20201007,1862
20201010,1838
20201011,2038
20201012,2406
20201013,2415
20201014,3209
20201015,2115
20201016,3164
20201017,1861
20201018,1866
20201019,2523
20201020,2007
20201021,2051
20201022,3255
20201023,2095
20201024,1945
20201025,1780
20201026,2470
20201027,1914
20201028,1876
20201029,1809
20201030,1858
20201031,1500
20201102,2170
20201103,1700
20201105,1750
20201101,1559
20201104,1622
20201106,1673
20201107,1554
20201108,1582
20201109,1974
20201110,1672
20201111,1459
20201112,1733
20201113,1536
20201114,1480
20201115,1459
20201116,2106
20201117,1631
20201118,1532
20201119,1529
20201120,1890
20201121,1418
20201122,1437
20201123,1894
20201124,1602
20201125,1609
20201126,1693
20201127,1589
20201128,1454
20201129,1390
20201130,1891
20201203,1283
20201210,1366
20201201,1614
20201202,1204
20201204,1314
20201205,1059
20201206,1162
20201207,1632
20201208,1831
20201209,1741
20201211,1381
20201212,1258
20201213,1189
20201214,1710
20201215,1445
20201216,1314
20201217,1512
20201218,1352
20201219,1186
20201220,1294
20201221,1722
20201222,1278
20201223,1216
20201224,1274
20201225,1386
20201226,1219
20201227,1144
20201228,1564
20201229,1269
20201230,1272
20201231,1274
